Date,Open,High,Low,Close,Adj Close,Volume
2021-02-19,13686.230469,13701.690430,13545.450195,13580.780273,13580.780273,6686060000
2021-02-22,13414.040039,13447.370117,13220.769531,13223.740234,13223.740234,6435100000
2021-02-23,12982.360352,13259.849609,12758.120117,13194.709961,13194.709961,7482840000
2021-02-24,13095.860352,13312.429688,12971.820313,13302.190430,13302.190430,5793430000
2021-02-25,13197.750000,13294.559570,12773.759766,12828.309570,12828.309570,6335240000
2021-02-26,12958.959961,13090.360352,12764.339844,12909.440430,12909.440430,5883880000
2021-03-01,13106.019531,13293.780273,13051.700195,13282.950195,13282.950195,5047710000
2021-03-02,13297.759766,13301.620117,13052.120117,13059.950195,13059.950195,4920320000
2021-03-03,13020.099609,13057.290039,12679.889648,12683.330078,12683.330078,5493960000
2021-03-04,12655.919922,12799.080078,12314.160156,12464.000000,12464.000000,7799710000
2021-03-05,12594.160156,12700.959961,12208.389648,12668.509766,12668.509766,7696900000
2021-03-08,12629.559570,12718.580078,12287.570313,12299.080078,12299.080078,5971260000
2021-03-09,12635.450195,12868.519531,12592.830078,12794.490234,12794.490234,6294910000
2021-03-10,12950.250000,12979.379883,12726.849609,12752.070313,12752.070313,5991730000
2021-03-11,12960.530273,13117.860352,12920.009766,13052.900391,13052.900391,5956260000
2021-03-12,12873.389648,12943.580078,12778.129883,12937.290039,12937.290039,5472340000
2021-03-15,12936.129883,13085.009766,12885.639648,13082.540039,13082.540039,5933440000
2021-03-16,13156.650391,13297.480469,13091.780273,13152.280273,13152.280273,5463770000
2021-03-17,13024.830078,13280.290039,12950.080078,13202.379883,13202.379883,5465500000
2021-03-18,13006.290039,13040.360352,12781.530273,12789.139648,12789.139648,5699900000
2021-03-19,12792.669922,12906.019531,12704.070313,12866.990234,12866.990234,7591530000
2021-03-22,12943.139648,13167.459961,12943.139648,13086.509766,13086.509766,5302770000
2021-03-23,13127.169922,13180.660156,12993.500000,13017.790039,13017.790039,5607860000
2021-03-24,13072.820313,13077.490234,12797.849609,12798.879883,12798.879883,6184470000
2021-03-25,12707.580078,12845.660156,12627.929688,12780.509766,12780.509766,5608640000
2021-03-26,12777.269531,12992.299805,12721.660156,12979.120117,12979.120117,5195330000
2021-03-29,12950.509766,13013.469727,12836.599609,12965.740234,12965.740234,4934000000
2021-03-30,12904.009766,12929.459961,12798.030273,12896.530273,12896.530273,4685320000
2021-03-31,12970.330078,13167.059570,12966.650391,13091.440430,13091.440430,4980670000
2021-04-01,13268.879883,13333.410156,13255.820313,13329.519531,13329.519531,4553470000
2021-04-05,13434.040039,13623.599609,13420.809570,13598.160156,13598.160156,4439970000
2021-04-06,13567.200195,13660.290039,13551.599609,13578.459961,13578.459961,4038510000
2021-04-07,13553.900391,13648.799805,13532.629883,13616.700195,13616.700195,4078990000
2021-04-08,13730.730469,13763.179688,13703.509766,13758.509766,13758.509766,4133640000
2021-04-09,13709.669922,13849.309570,13674.919922,13845.059570,13845.059570,3906460000
2021-04-12,13792.740234,13839.389648,13747.629883,13819.349609,13819.349609,4230160000
2021-04-13,13874.580078,14002.530273,13874.580078,13986.490234,13986.490234,4200290000
2021-04-14,13988.860352,13990.540039,13782.179688,13803.910156,13803.910156,4102380000
2021-04-15,13934.870117,14040.110352,13931.009766,14026.190430,14026.190430,4382620000
2021-04-16,14035.959961,14050.379883,13966.540039,14041.910156,14041.910156,4414640000
2021-04-19,13970.830078,14025.639648,13835.750000,13907.669922,13907.669922,4349340000
2021-04-20,13891.959961,13934.889648,13730.589844,13809.299805,13809.299805,4229410000
2021-04-21,13768.919922,13939.700195,13717.440430,13935.150391,13935.150391,3967090000
